instance;nb_iterations;temps_total
1;10;.0077042579650878905
2;10;1.2922196388244629105
3;10;2.9920074939727783305
4;10;6.2519459724426269605
5;10;9.1716921329498290805
6;10;15.3326537609100340805
7;10;20.4980847835540771905
8;10;30.4433355331420896905
9;10;106.8173480033874506905
10;10;315.6667513847351036905
11;10;315.66790485382079704988
12;10;320.98635888099670024988
13;10;333.30438637733459084988
14;10;340.14706230163573834988
15;10;343.84788155555724716988
16;10;354.94197344779967876988
1;10;.0072803497314453125
